[2026-09-20 20:05:26 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 20:00:53 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:55:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:50:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:45:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:40:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:35:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:30:41 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:25:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:15:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:10:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:05:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 19:00:54 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:55:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:50:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:45:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:40:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:35:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:30:44 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:25:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:20:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:15:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:10:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 18:05:23 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 18:01:29 UTC] Checked 22 classes, 2 free spot(s) total
[2026-09-20 17:55:25 UTC] Notification sent: Út 08:00 - 09:30 - Lezení na stěně (Martin Wágner, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-20 17:55:25 UTC] Checked 22 classes, 2 free spot(s) total, NEW: 1
[2026-09-20 17:50:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:45:29 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:40:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:35:24 UTC] Notification sent: Út 12:15 - 13:30 - Lezení na stěně (Roman Tomčík, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-20 17:35:24 UTC] Checked 22 classes, 1 free spot(s) total, NEW: 1
[2026-09-20 17:30:44 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:25:23 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:20:33 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:15:30 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:10:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:05:26 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 17:00:54 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:55:25 UTC] Notification sent: Po 08:00 - 09:30 - Lezení na stěně (Michal Baron, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-20 16:55:25 UTC] Checked 22 classes, 1 free spot(s) total, NEW: 1
[2026-09-20 16:50:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 16:45:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-20 16:40:31 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:35:26 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:30:46 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:25:25 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:20:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:15:33 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:10:32 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:05:26 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 16:01:09 UTC] Checked 22 classes, 1 free spot(s) total
[2026-09-20 15:55:25 UTC] Checked 22 classes, 1 free spot(s) total
